limited,544
concept,508
salt,699
chinese,602
caused,248
magnetic,393
global,377
results,345
yellow,918
four,202
per,89
skin,346
consists,641
children,413
causes,327
layers,985
increase,216
gases,730
mineral,951
chain,797
zone,844
young,660
created,354
environment,315
insects,748
charge,902
program,898
stable,632
safety,847
include,36
resources,712
plants,59
lack,631
risk,391
without,157
far,411
rise,543
wave,605
electron,446
every,384
difficult,704
animals,78
difference,734
minerals,717
entire,970
school,408
metals,746
level,164
list,472
solution,509
large,28
p,759
team,639
small,42
biological,404
originally,946
20th,720
prevent,618
smaller,325
force,145
direct,821
resistance,680
past,790
rate,176
cost,926
design,380
acid,116
bacteria,231
even,69
established,584
power,161
organisms,177
→,928
sun,203
asia,556
acids,474
cell,68
19th,655
indian,774
fossil,912
scientists,614
international,183
increasing,541
method,285
contrast,868
movement,389
body,62
full,783
led,376
degree,840
whose,654
genes,484
commercial,627
french,268
atoms,458
water,6
believed,732
objects,368
china,330
groups,204
others,245
active,561
i.e,598
along,155
strong,400
appears,965
change,142
knowledge,607
dry,503
great,191
involved,678
study,131
larger,197
allows,580
host,940
commonly,169
amount,235
chemical,86
products,296
negative,721
social,213
usually,34
military,388
gene,515
changes,218
king,974
composed,574
diameter,835
named,594
via,466
followed,800
family,251
ions,851
africa,360
highly,394
spanish,930
visible,716
names,728
outer,814
total,262
unit,383
languages,949
use,11
towards,922
dna,174
takes,908
working,885
&,385
remains,690
beginning,765
contains,347
two,8
france,640
live,524
approach,981
music,417
therefore,283
6,577
taken,615
type,82
today,473
distinct,758
females,987
populations,697
becomes,565
company,603
glass,537
primarily,557
8,934
particular,239
known,12
cases,279
producing,958
must,160
town,859
states,24
word,158
g,894
player,764
science,167
equation,938
work,101
mi,899
males,921
remain,917
can,1
evolved,784
island,637
following,276
making,310
metal,295
male,492
example,20
history,90
control,195
heart,671
august,901
links,416
give,708
process,45
december,751
allowed,882
india,442
discovery,890
high,31
numbers,445
sense,600
hydrogen,224
species,10
simple,459
ratio,739
patterns,969
information,178
united,33
end,217
winter,903
rather,246
helium,878
divided,643
six,735
milk,666
length,358
occur,215
1,100
located,487
hot,837
forest,693
animal,247
instead,415
native,791
plant,127
ft,576
building,624
protection,848
may,4
philosophy,887
southern,465
containing,595
ball,427
applications,572
produce,114
blood,124
men,937
waves,573
date,741
law,154
data,271
response,635
types,80
short,386
natural,70
liquid,306
enzymes,944
light,51
lines,696
lost,904
fungi,959
element,534
greek,314
green,373
allow,500
african,796
order,211
wind,339
nearly,652
help,628
produces,819
september,893
developed,138
move,622
mainly,673
years,30
produced,98
brain,547
thermal,766
paper,591
including,38
nitrogen,371
november,980
japan,895
cold,626
still,147
birds,395
regions,301
group,104
sodium,480
varies,948
forms,120
production,94
systems,91
main,210
might,589
2010,540
2013,913
outside,587
eventually,883
good,522
greater,297
combination,972
food,56
material,113
evolution,457
number,32
band,779
effects,234
half,533
front,973
now,165
day,137
association,644
growing,857
term,77
name,141
oxygen,182
always,585
university,135
classified,733
proteins,256
normally,825
rocks,816
applied,444
rock,321
found,27
higher,130
side,274
bone,845
referred,329
heavy,756
reactions,559
r,925
square,811
england,486
directly,405
weight,367
series,359
energy,21
frequency,616
reduce,555
product,401
related,179
society,409
molecular,512
oil,342
year,79
sexual,909
event,865
special,529
album,495
living,318
shown,570
space,129
house,931
quality,672
since,50
research,122
particles,252
health,198
7,929
dioxide,426
medicine,891
cause,115
occurs,227
red,192
provide,277
theory,87
written,886
easily,881
derived,491
million,93
little,379
free,406
standard,351
reason,956
base,357
formation,317
york,396
members,499
earliest,873
marine,620
wall,843
definition,313
organic,308
service,609
language,441
e.g,173
days,402
british,250
times,150
motion,438
turn,661
american,40
place,233
moving,656
south,118
first,9
origin,531
copper,773
major,103
industrial,431
isbn,186
features,601
simply,963
upper,621
primary,303
one,5
feet,817
done,954
approximately,369
another,74
frequently,905
open,455
causing,818
size,148
city,209
given,159
ancient,254
temperature,65
likely,450
leading,689
top,518
system,19
least,275
grow,711
needed,896
2,99
california,670
rates,729
white,243
john,392
structures,320
eyes,850
stars,312
mostly,551
relative,519
park,836
environmental,412
part,53
western,331
july,718
UNK,0
population,106
steel,935
10,340
parts,181
b,111
15,869
third,560
require,692
tree,714
second,152
nations,789
project,788
matter,200
computer,599
characteristics,767
iron,253
k,862
mountains,975
disambiguation,684
modern,73
medical,517
need,504
seen,334
concentration,590
television,769
relatively,356
mountain,884
u.s,263
angle,750
built,528
depending,493
separate,623
responsible,860
able,425
gravity,880
mechanism,812
contact,701
also,2
potential,337
take,407
forces,390
forming,976
techniques,839
blue,516
play,552
added,742
multiple,525
electric,649
though,193
eggs,793
object,344
reach,953
virus,983
significant,278
organization,802
phase,564
america,240
measured,583
class,636
damage,532
appear,588
chemistry,526
especially,190
released,787
considered,133
average,287
later,146
flow,293
disease,266
km,608
traditional,462
points,723
electrons,596
mechanical,681
velocity,753
typical,876
typically,112
fact,625
laws,932
atmosphere,269
selection,955
particularly,343
location,822
gold,749
show,478
german,440
discovered,460
radio,707
earth,72
ground,299
impact,629
current,307
provided,879
based,109
proposed,606
northern,399
state,49
held,737
wood,612
black,332
molecules,300
factor,933
fuel,604
sulfur,804
local,264
plate,731
means,230
vary,755
de,316
fluid,578
trees,782
12,824
world's,645
words,763
new,16
trade,665
areas,85
processes,289
countries,143
h,650
public,223
common,29
contain,259
release,838
london,490
river,273
inside,549
view,900
february,715
available,261
set,212
art,679
reference,854
national,95
humans,166
observed,421
culture,483
see,39
individual,309
result,128
sea,171
agricultural,996
close,562
best,703
subject,726
surfaces,907
practice,719
said,659
compounds,221
ways,866
nuclear,432
away,586
currently,990
tend,685
3,237
determined,828
various,107
electrical,829
membrane,567
probably,964
conditions,168
across,348
wide,463
europe,219
latin,424
terms,280
ability,470
nature,282
component,875
however,22
recent,430
carbon,123
cities,651
come,834
distribution,771
suggested,995
reaction,355
c,365
last,428
reported,813
many,7
region,249
decay,871
hours,803
according,170
etc,722
roman,469
became,188
n,984
genus,738
whole,841
comes,892
among,151
fields,686
cancer,419
point,125
color,232
effective,778
period,153
community,669
key,863
viruses,962
constant,520
throughout,443
100,653
late,328
described,323
basis,870
addition,284
west,476
create,617
political,579
due,55
tropical,982
genetic,362
much,64
interest,947
basic,592
mean,864
women,582
ph,942
waste,682
estimated,530
treatment,597
engine,815
life,81
diversity,998
organism,967
eastern,858
fire,456
designed,619
formed,220
gas,121
climate,387
external,175
general,132
former,993
present,184
case,214
atmospheric,781
developing,897
solid,494
2011,727
earth's,302
value,374
air,57
will,26
calcium,477
near,267
behavior,705
country,410
wild,889
property,657
leaves,611
supply,706
layer,381
30,677
necessary,915
century,41
almost,363
soil,84
secondary,761
thus,110
site,805
surface,35
equal,691
ii,638
middle,341
tissue,642
experience,992
protein,265
activity,349
technology,397
increased,255
different,25
develop,709
april,801
media,910
make,149
radiation,286
s,827
complex,241
widely,453
largest,196
units,485
resulting,452
several,60
events,511
european,272
development,92
used,3
cloud,916
published,536
upon,423
effect,187
hand,514
action,468
historical,997
levels,199
uses,236
composition,849
strength,941
cycle,361
dark,911
lower,163
center,398
largely,977
studies,257
well,47
increases,545
analysis,479
ocean,292
thought,326
person,449
materials,226
components,658
english,126
position,513
model,244
muscle,510
bodies,568
left,610
summer,994
just,382
less,67
sound,482
rest,856
sources,414
shape,448
atomic,806
human,43
using,54
useful,810
october,924
speed,336
death,527
classification,674
density,497
percent,668
lake,683
source,201
internal,488
4,378
5,454
engineering,725
east,436
majority,826
kingdom,667
australia,538
march,647
around,61
government,281
rules,988
rna,978
possible,225
early,52
game,498
five,435
makes,558
birth,961
press,420
world,23
precipitation,950
d,335
loss,434
2012,831
like,63
particle,795
nutrients,772
future,968
extremely,943
specific,205
individuals,501
either,119
january,633
popular,311
become,156
works,799
reduced,613
NEWFILENEWFILE,144
right,437
old,319
often,13
people,48
back,258
identified,945
born,646
growth,189
examples,324
table,986
home,505
transport,553
ozone,675
scale,364
lead,366
legal,792
normal,464
ice,270
moon,521
diseases,698
market,794
provides,776
pattern,989
content,630
refer,433
core,745
biology,920
football,855
scientific,333
fish,291
bc,554
june,736
pressure,97
mexico,744
relationship,874
although,58
eye,785
refers,548
properties,238
stage,872
central,229
consumption,960
universe,634
industry,461
months,919
factors,418
essential,939
union,743
range,139
act,429
islands,808
introduced,702
slightly,936
cultural,846
presence,581
image,991
within,44
three,66
services,775
weather,542
references,322
female,507
next,768
positive,832
methods,375
additional,820
area,76
transfer,770
support,496
sequence,663
20,550
long,108
spread,809
low,117
way,136
ed,786
prey,861
exposure,830
war,206
function,222
ago,569
head,546
hard,999
north,105
complete,754
form,17
enough,471
mammals,506
potassium,842
differences,914
volume,372
heat,140
construction,593
solar,208
line,294
highest,780
true,566
—,571
made,37
places,867
whether,575
cells,46
j,906
us,304
planet,688
record,823
economic,447
uk,952
problem,687
similar,88
called,14
distance,352
°c,403
sometimes,83
associated,207
°f,833
defined,288
certain,185
measure,676
influence,852
direction,439
deep,740
evidence,242
single,162
exist,535
planets,777
education,475
film,290
physical,180
functions,747
compared,664
variety,350
amounts,710
agriculture,971
whereas,798
